Inner2	(0.8099770975108377, -0.3485162046584075)
Inner3	(0.2985847365724223, -0.38329458942328637)
Inner4	(-0.19811043350094937, -0.3278919046462423)
4	(-0.2932384394912787, -0.5540642640154382)
5	(0.9999999999999999, -0.46329533767003445)
3	(0.8921171245940693, -0.20445444143886932)
1	(-0.6337840840369696, 0.828131219004318)
Inner5	(-0.4898677772563541, 0.2801642463363798)
6	(-0.6660159571796515, 0.23509985821544335)
2	(-0.3821318041505738, 0.7471860047079015)
Inner1	(-0.47619590421780816, 0.6179238860996489)
0	(0.13866544115625615, -0.4269884725114129)
